1;1-Metacarpalia;2.33;0.69
2;2-Metacarpalia;2.46;1.65
3;3-Metacarpalia;2.45;4.17
4;4-Metacarpalia;2.47;4.71
5;5-Metacarpalia;2.47;6.31
6;6-Metacarpalia;2.47;8.02
7;7-Metacarpalia;2.37;1.07
8;8-Metacarpalia;2.44;2.04
9;9-Metacarpalia;2.4;2.54
10;10-Metacarpalia;2.43;4.53
11;11-Metacarpalia;2.42;5.22
12;12-Metacarpalia;2.32;9.38
13;13-Metacarpalia;2.45;0.55
14;14-Metacarpalia;2.55;1.7
15;15-Metacarpalia;2.46;3.64
16;16-Metacarpalia;2.48;5.89
17;17-Metacarpalia;2.43;7.05
18;18-Metacarpalia;2.46;10
19;19-Metacarpalia;2.39;1.41
20;20-Metacarpalia;2.47;2.62
21;21-Metacarpalia;2.38;2.7
22;22-Metacarpalia;2.46;4.07
23;23-Metacarpalia;2.45;4.91
24;24-Metacarpalia;2.46;7.82
25;25-Metacarpalia;2.42;3.45
26;26-Metacarpalia;2.33;5.39
27;27-Metacarpalia;2.46;5.22
28;28-Metacarpalia;2.32;9.83
29;29-Metacarpalia;2.36;13.32
30;30-Metacarpalia;2.42;30.23
31;31-Metacarpalia;2.39;5.62
32;Radius-Right;2.38;25.47
33;33-Metacarpalia;2.39;13.08
34;34-Metacarpalia;2.39;12.57
35;Humerus;2.42;231.55
